pp,cond,accuracy,meanRT_correct,meanRT_incorrect,meanRTlog_correct,meanRTlog_incorrect,0.1_correct,0.25_correct,0.3_correct,0.5_correct,0.7_correct,0.75_correct,0.9_correct,0.1_incorrect,0.25_incorrect,0.3_incorrect,0.5_incorrect,0.7_incorrect,0.75_incorrect,0.9_incorrect,skew_correct,stdRT_correct,skew_incorrect,stdRT_incorrect,timeout,n_trials,prop_fast_errors,meanRTdiff,meanRTlogdiff,origin,model
82,implicitDeadline,0.7313084112149533,403.35853035143833,360.0646956521708,-0.9342081124271514,-1.0530861252576857,310.22399999999897,345.97999999998103,357.0439999999946,393.280000000028,436.5520000000022,447.73999999999097,503.63599999999843,252.9039999999574,302.789999999979,314.09999999993016,358.400000000023,392.58000000001635,408.369999999995,470.3959999999849,1.8226527563762873,96.95081624674897,0.3375597256726841,89.1605349062807,0.102803738317757,428,1,43.29383469926751,0.11887801283053434,empirical,none
83,implicitDeadline,0.9305555555555556,436.9052114573768,377.3606666809841,-0.8373436704945183,-0.9780162584352345,358.5206000000473,395.10025000001775,405.2277000000354,434.89050000009604,465.9964000358364,477.3842500179015,508.79680003583235,337.6440000322412,355.57825000007847,362.6655000000729,376.202000017918,392.6509000000432,400.90950001793675,423.958300023805,0.6747516980894599,60.39782363799677,0.03797686928880437,31.851229171386088,0.12731481481481483,432,1,59.54454477639274,0.14067258794071624,empirical,none
84,acc,0.9745370370370371,428.84127543646724,396.9509998916314,-0.8536558546861199,-0.9324458389928083,374.711999904597,393.06999995233497,399.66599995229603,421.79099980928,449.486999999965,457.524000000005,491.258000000002,337.049999952316,363.3114998808305,371.727999952331,384.33099990466104,402.577999809291,433.0009998569585,467.04399985692004,0.9133547761547042,51.7730473829945,0.47326542942921646,54.817677692647074,-99.0,432,1,31.890275544835845,0.07878998430668838,empirical,none
85,acc,0.9649532710280374,457.0532687651449,471.6000000000135,-0.7926400773868894,-0.7693282206734648,385.0,414.0,419.6000000000232,450.0,480.0,491.0,536.6,370.8,403.5,408.6000000000232,458.999999999971,481.59999999999997,538.5,602.0000000000232,0.9908503987226976,65.54485657557217,0.6284323314326715,93.75560935599799,-99.0,428,0,-14.546731234868616,-0.023311856713424506,empirical,none
86,acc,0.9767981438515081,472.8134441805223,454.3360000000058,-0.7625688196013809,-0.810654275745019,385.0,415.799999999988,423.51999999999003,459.839999999967,506.19999999995304,515.5,564.7600000000091,377.68599999999833,380.2750000000235,382.5340000000316,395.75,475.7599999999846,490.4299999999675,602.0980000000152,1.4883655927371098,81.737674526003,1.3816529189370155,106.28129209267323,-99.0,431,1,18.4774441805165,0.04808545614363813,empirical,none
87,implicitDeadline,0.8578088578088578,372.144600542647,333.0057868844631,-1.000606004320725,-1.110453332031638,307.6782999982069,336.9704999983222,340.5042000000947,364.975999999617,391.6203999984949,399.1247499977833,445.7484999982467,269.72100000001996,304.925999997766,316.552000000724,339.730999999272,355.299999997776,357.092999999237,385.962000000756,0.9467634514821393,59.41905749686302,0.0883697434531534,48.774973596805694,0.030303030303030304,429,1,39.13881365818395,0.1098473277109131,empirical,none
88,acc,0.9837209302325581,536.0992907801533,430.14285714285927,-0.632237444461814,-0.8460311531397363,453.0,488.500000000029,497.00000000006963,529.0,565.0,581.5,624.4000000000001,401.8,412.0,415.0,429.000000000015,432.6,433.5,459.8,0.5496735731568033,71.90610369301731,1.5468497443380702,32.946565685609556,-99.0,430,1,105.95643363729403,0.21379370867792236,empirical,none
89,explicitDeadline,0.8399014778325123,340.4554252190876,308.7707076928507,-1.0893495730164633,-1.1866461796452097,279.414000005927,304.768000005977,307.91399999999,333.447000011918,368.40499998809497,377.815999988059,413.938000011898,255.12720000827642,274.27899999998,285.5450000012296,308.37799999397197,332.11500000357637,336.173000011942,364.6814000023528,0.30385269803908976,52.508850261243936,0.04915423764511004,46.42716526617273,0.058004640371229696,406,1,31.68471752623691,0.0972966066287464,empirical,none
90,explicitDeadline,0.7655367231638418,362.5646494464952,336.13228915662836,-1.0281988791213954,-1.1091949371985843,286.939999999944,323.679999999993,330.859999999986,358.339999999967,399.97999999998103,410.9500000000115,442.640000000014,269.19200000003923,300.430000000022,303.3999999999998,329.180000000051,365.8279999999796,371.0999999999765,428.89600000000763,-0.05799821452542424,58.81881027363944,0.023257313160291056,63.93906060871251,0.17674418604651163,354,1,26.432360289866836,0.0809960580771889,empirical,none
91,acc,0.9067599067599068,629.7103392361296,625.7781499332425,-0.5062595593408276,-0.523363415377651,462.8921999332848,501.022999952314,510.0017998665106,560.443999952287,648.9279999427498,670.25299980928,922.8767998474244,418.49429995709835,485.9362499165293,495.2459999523008,528.7649999046696,692.4188999570525,738.3312498569722,891.1744998283311,2.097721169732683,212.79468890634482,1.3460515957960184,225.80093304275775,-99.0,429,1,3.932189302887082,0.017103856036823406,empirical,none
