pp,symbol,cond,accuracy,meanRT_correct,meanRT_incorrect,meanRTlog_correct,meanRTlog_incorrect,0.1_correct,0.25_correct,0.3_correct,0.5_correct,0.7_correct,0.75_correct,0.9_correct,0.1_incorrect,0.25_incorrect,0.3_incorrect,0.5_incorrect,0.7_incorrect,0.75_incorrect,0.9_incorrect,skew_correct,stdRT_correct,skew_incorrect,stdRT_incorrect,timeout,n_trials,prop_fast_errors,meanRTdiff,meanRTlogdiff,origin,model
293,0,control,0.7470588235294118,620.4094488188977,679.3023255813954,-0.49578134866308865,-0.4110634626148823,493.6,537.0,551.0,587.0,653.0,680.5,803.4,507.0,570.5,592.0,655.0,723.4,737.0,910.0000000000002,1.1340976482692713,125.34532328228848,0.8156569433355758,155.4613004797138,-99.0,170,0,-58.892876762497735,-0.08471788604820635,empirical,none
293,1,control,0.863905325443787,613.945205479452,705.7826086956521,-0.5149717716218639,-0.3839370138587726,462.0,504.25,520.5,571.0,652.5,658.5,846.5,507.2,571.5,572.0,634.0,778.6,840.0,1041.2,1.3066531771061123,153.1315765460368,0.8150009630788934,199.38768917083465,-99.0,169,0,-91.83740321620007,-0.13103475776309131,empirical,none
296,0,control,0.48554913294797686,693.2416666666667,669.9820224719101,-0.3969382584848577,-0.4226724385491171,496.51,562.5749999999999,576.3,652.25,772.26,803.0,952.88,483.64,560.6,583.66,664.0,736.04,760.9,871.72,0.8234851471383078,177.01114130637754,0.36138217171992065,141.84384304403022,-99.0,173,1,23.25964419475656,0.025734180064259427,empirical,none
296,1,control,0.9137931034482759,604.1264150943397,653.9866666666666,-0.5296906703323236,-0.47104138201773954,451.26,496.15,517.84,580.3000000000001,641.86,679.95,787.32,384.74,543.85,637.4000000000001,668.1,761.3,763.5,827.9,1.0619950942077105,143.4729315328739,-0.06900674703048533,194.30722678519288,-99.0,174,0,-49.86025157232689,-0.0586492883145841,empirical,none
298,0,control,0.7727272727272727,777.8669117647058,972.8950000000001,-0.28705318051197964,-0.05531914991067575,581.5,626.175,638.9000000000001,712.25,830.95,874.95,1075.3000000000002,677.63,784.1999999999999,831.03,948.9,1104.8899999999999,1130.2,1284.53,1.6592094355594427,228.4137166067219,0.10257730526192116,228.15172746133163,-99.0,176,0,-195.02808823529426,-0.2317340306013039,empirical,none
298,1,control,0.8514285714285714,760.089932885906,860.7,-0.3173639250969793,-0.19522196468945138,521.78,585.8,605.5,685.9,838.3799999999999,904.6999999999999,1053.4800000000005,605.8499999999999,653.7,688.95,790.6500000000001,963.6,1018.425,1155.9,1.2529634107131873,238.0209284873253,1.1706872339389935,276.6977513461214,-99.0,175,0,-100.61006711409402,-0.12214196040752792,empirical,none
299,0,control,0.7469879518072289,787.6483870967742,808.9809523809523,-0.2536648812508385,-0.2294930574434473,626.6600000000001,693.6,723.1499999999999,776.1,841.74,859.275,937.18,626.9200000000001,682.675,713.96,817.05,888.57,921.75,1005.5800000000002,0.8971268887253397,140.15312501925152,0.1214818537732356,151.4898954017295,-99.0,166,0,-21.332565284178145,-0.02417182380739122,empirical,none
299,1,control,0.8068181818181818,766.8591549295775,773.3529411764706,-0.2813844465406867,-0.27612800879823773,593.2099999999999,658.9250000000001,676.25,742.1500000000001,838.0499999999998,858.575,974.5200000000001,608.6999999999999,674.575,675.07,777.5999999999999,826.83,854.4,946.75,0.635762849780597,139.8876596663922,0.40492419439609284,152.9960095246974,-99.0,176,0,-6.493786246893137,-0.005256437742448938,empirical,none
300,0,control,0.8228571428571428,855.6500000000001,1080.664516129032,-0.1955580175231685,0.04803851084290542,581.48,666.8,682.0699999999999,807.7,955.5099999999999,1018.9,1223.9799999999998,735.6,943.85,969.3000000000001,1091.8000000000002,1207.8,1235.4,1407.8,0.6293851357934249,245.6897603110035,0.057926433675271866,258.78193722178156,-99.0,175,0,-225.01451612903202,-0.24359652836607393,empirical,none
300,1,control,0.8522727272727273,878.1113333333334,919.4038461538462,-0.15341918986009154,-0.12217097644646432,669.01,742.025,755.11,835.8,921.4,970.0500000000001,1143.83,594.8,764.225,806.95,880.5999999999999,1009.25,1098.675,1250.95,0.973836226363841,197.81305815864653,0.33841404298403865,253.58488674330607,-99.0,176,0,-41.2925128205128,-0.031248213413627213,empirical,none
303,0,control,0.6728395061728395,763.1926605504588,931.4150943396227,-0.32470488154977095,-0.14627033487817165,544.8,579.0,589.0,660.0,797.2,833.0,1139.2000000000003,581.6,667.0,695.6,780.0,1003.0,1120.0,1657.6000000000001,1.9508780004365789,289.09951116015594,1.0606212783315778,387.7804411480937,-99.0,162,0,-168.22243378916392,-0.1784345466715993,empirical,none
303,1,control,0.9080459770114943,737.8987341772151,695.1875,-0.3557807660828375,-0.38283095705772563,514.0,563.0,570.0,633.5,797.5999999999999,835.5,1112.5,551.0,591.5,606.5,642.5,763.5,785.75,813.5,1.714276591979331,264.5880150448881,1.4708657490573036,149.43637163243315,-99.0,174,1,42.71123417721515,0.027050190974888144,empirical,none
