t0,st0,zr,v0,v1,a,alpha,szr,sv,file,pp,condition
0.48750004,0.3022853,0.48357177,-1.4946018,1.7883852,1.798559,1.9385824,0.19005968,0.89001614,file245_control.csv,245,control
0.5005361,0.21830261,0.4209131,-1.8959633,1.8466227,1.0009245,1.8667167,0.1946058,1.0565456,file315_control.csv,315,control
0.5176045,0.2796383,0.49941725,-2.050993,1.5454067,0.54338104,1.6952939,0.19789909,1.0861404,file64_explicitDeadline.csv,64,explicitDeadline
0.45060548,0.09924805,0.535942,-1.2706062,2.549583,1.6158309,1.8403256,0.18614939,1.5047503,file77_control.csv,77,control
0.4981437,0.20728599,0.36903676,-1.507053,2.5020435,0.54823685,1.6910452,0.19743432,1.1350825,file211_explicitDeadline.csv,211,explicitDeadline
0.50567317,0.1702973,0.4808465,-0.88977873,1.9359134,1.2604882,1.9033209,0.19775218,0.90588665,file305_control.csv,305,control
0.5689279,0.2693565,0.70785,-2.145127,2.5767212,0.5445119,1.6761016,0.19395095,0.78866726,file124_explicitDeadline.csv,124,explicitDeadline
0.4740316,0.26385498,0.5777202,-1.3901943,2.377349,0.5113701,1.6591666,0.19614354,0.9921751,file201_explicitDeadline.csv,201,explicitDeadline
0.48824233,0.28137726,0.3696219,-1.1414808,1.6580441,0.5183323,1.765417,0.2143638,0.7141971,file193_explicitDeadline.csv,193,explicitDeadline
0.49547222,0.27653497,0.65991,-0.68961966,1.5240972,0.546441,1.8082047,0.20891608,0.8526426,file50_explicitDeadline.csv,50,explicitDeadline
0.6536296,0.4411588,0.4715284,-1.0368104,1.1862568,1.7615006,1.9012276,0.19930229,0.5355597,file341_control.csv,341,control
0.44329306,0.23266207,0.62068504,-1.9043458,1.883663,0.6655855,1.7888768,0.20536071,0.7638662,file137_explicitDeadline.csv,137,explicitDeadline
0.421615,0.095811844,0.5503531,-0.9921874,2.0450983,1.677876,1.7025715,0.20443667,1.5097545,file217_control.csv,217,control
0.49856704,0.30241767,0.50179553,-0.7165562,2.4654417,0.48108995,1.631623,0.20904186,0.50825155,file319_explicitDeadline.csv,319,explicitDeadline
0.41703212,0.20878536,0.54300666,-1.500698,0.9515043,2.2476747,1.8062099,0.21286787,0.94224286,file186_control.csv,186,control
0.51103145,0.17997435,0.5358146,-1.3373991,1.8676482,1.1483477,1.8331648,0.20013425,1.2888243,file19_control.csv,19,control
0.4106567,0.2887999,0.48118868,-1.1287653,2.6690211,1.6006767,1.882658,0.18239737,1.4132308,file57_control.csv,57,control
0.6331402,0.3769814,0.52093244,-1.0276834,1.8318143,0.99425286,1.7072736,0.20229179,0.86283225,file139_control.csv,139,control
0.40401104,0.18926443,0.45586193,-0.67965835,1.3806657,2.2351446,1.7737857,0.21478276,1.1714145,file266_control.csv,266,control
0.40896702,0.21191548,0.4368336,-1.156819,1.5197915,1.8724793,1.7813965,0.21000862,1.2557673,file213_control.csv,213,control
0.5261907,0.21880215,0.49944526,-1.0376711,1.9355683,1.8440706,1.8506787,0.19861192,1.0510514,file241_control.csv,241,control
0.48629346,0.1263213,0.49522635,-1.4808847,1.582642,1.4979106,1.9081361,0.19021286,1.4523962,file70_control.csv,70,control
0.515851,0.25794533,0.5462228,-1.2024717,2.8978915,1.3399129,1.864357,0.17824659,1.1969304,file342_control.csv,342,control
0.4860979,0.2490377,0.43796188,-0.72066635,1.2285607,0.5267807,1.7459888,0.21325019,0.81514317,file182_explicitDeadline.csv,182,explicitDeadline
0.39294055,0.30171186,0.51261634,-0.41040385,1.6610132,2.1799593,1.8491447,0.20974384,0.8540388,file12_control.csv,12,control
