DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition
0.03185946,0.67751795,0.011793617,0.27882904,file221_acc.csv,221,acc
0.003168383,0.9473318,0.0028983802,0.04660142,file189_explicitDeadline.csv,189,explicitDeadline
0.0022599327,0.8628041,0.0023198065,0.13261619,file260_acc.csv,260,acc
0.077682294,0.75262696,0.024335328,0.14535536,file111_implicitDeadline.csv,111,implicitDeadline
0.0026049793,0.8973591,0.002552612,0.09748332,file290_implicitDeadline.csv,290,implicitDeadline
0.074076064,0.46710473,0.0445009,0.4143183,file160_acc.csv,160,acc
0.0069095795,0.96188813,0.0046421136,0.026560253,file249_explicitDeadline.csv,249,explicitDeadline
0.0024368584,0.9184065,0.0025412326,0.076615445,file66_explicitDeadline.csv,66,explicitDeadline
0.0042785667,0.9643132,0.0034541104,0.027954064,file263_explicitDeadline.csv,263,explicitDeadline
0.0018119054,0.9686517,0.0026997016,0.02683672,file202_implicitDeadline.csv,202,implicitDeadline
0.014623943,0.52677727,0.009975755,0.44862303,file129_acc.csv,129,acc
0.6577829,0.20681496,0.09849665,0.03690547,file185_acc.csv,185,acc
0.0027219513,0.8935326,0.0031696637,0.10057587,file279_implicitDeadline.csv,279,implicitDeadline
0.0023010196,0.9635504,0.0028657282,0.03128289,file93_implicitDeadline.csv,93,implicitDeadline
0.0021378943,0.002504028,0.0025664328,0.99279165,file139_acc.csv,139,acc
0.0049574105,0.9527132,0.0035162054,0.03881322,file10_explicitDeadline.csv,10,explicitDeadline
0.0030392306,0.84733784,0.0024302488,0.14719264,file36_implicitDeadline.csv,36,implicitDeadline
0.0036040528,0.946149,0.002997767,0.04724926,file42_implicitDeadline.csv,42,implicitDeadline
0.0023031293,0.0031252455,0.0048274905,0.9897441,file141_acc.csv,141,acc
0.015474526,0.9540083,0.006873997,0.02364321,file155_explicitDeadline.csv,155,explicitDeadline
0.021937527,0.96400094,0.0027520114,0.0113094775,file9_explicitDeadline.csv,9,explicitDeadline
0.0029409472,0.8735915,0.0031832738,0.12028435,file12_implicitDeadline.csv,12,implicitDeadline
0.0023773545,0.9183266,0.0025164643,0.07677964,file281_implicitDeadline.csv,281,implicitDeadline
0.003143884,0.9472203,0.0029025227,0.046733223,file167_implicitDeadline.csv,167,implicitDeadline
0.15668191,0.6257485,0.050430715,0.16713892,file30_implicitDeadline.csv,30,implicitDeadline
0.0026531601,0.94059426,0.0026360892,0.054116424,file182_explicitDeadline.csv,182,explicitDeadline
0.07682666,0.63321537,0.03292871,0.2570293,file194_acc.csv,194,acc
0.020854112,0.6997945,0.010207353,0.2691441,file162_acc.csv,162,acc
0.0108338045,0.97267187,0.0040933182,0.012400991,file45_explicitDeadline.csv,45,explicitDeadline
0.38527584,0.3382317,0.122740924,0.15375157,file271_acc.csv,271,acc
0.003204372,0.9047036,0.0036035355,0.08848856,file156_implicitDeadline.csv,156,implicitDeadline
0.0023240508,0.891107,0.0023829052,0.10418603,file74_implicitDeadline.csv,74,implicitDeadline
0.0044729356,0.96769875,0.0038459336,0.023982337,file43_explicitDeadline.csv,43,explicitDeadline
0.0022460958,0.86209905,0.0023269737,0.13332789,file121_acc.csv,121,acc
0.18755102,0.43889064,0.1406328,0.23292555,file136_implicitDeadline.csv,136,implicitDeadline
0.007726465,0.8104463,0.0057273917,0.17609976,file107_implicitDeadline.csv,107,implicitDeadline
0.0037725568,0.63352925,0.003452394,0.35924578,file157_acc.csv,157,acc
0.0040589804,0.9599438,0.0036680452,0.03232915,file314_explicitDeadline.csv,314,explicitDeadline
0.0032279347,0.9207123,0.0032891934,0.072770566,file234_explicitDeadline.csv,234,explicitDeadline
0.013971801,0.958524,0.0060340622,0.02147018,file230_explicitDeadline.csv,230,explicitDeadline
0.0040932978,0.79997945,0.0028433837,0.19308384,file104_acc.csv,104,acc
0.0024890467,0.8227837,0.0026059272,0.1721214,file159_implicitDeadline.csv,159,implicitDeadline
0.0022761717,0.004345374,0.0040621986,0.98931634,file275_acc.csv,275,acc
0.002262985,0.937064,0.0030052448,0.057667848,file200_acc.csv,200,acc
0.0023276948,0.14069565,0.0021933452,0.85478336,file64_acc.csv,64,acc
