t0,st0,zr,v0,v1,a,alpha,file,pp,condition
0.31220952,0.085676245,0.54725236,-2.9181356,2.3887162,0.9958712,1.7027797,file140_acc.csv,140,acc
0.26763877,0.113431156,0.52167976,-2.933199,2.6457334,0.6094297,1.0265296,file303_explicitDeadline.csv,303,explicitDeadline
0.3352275,0.13026531,0.47729215,-2.1854587,2.2809243,1.0731647,1.5539572,file253_acc.csv,253,acc
0.2802916,0.09698447,0.40198535,-2.028808,2.1546886,0.2624025,1.2287855,file252_explicitDeadline.csv,252,explicitDeadline
0.30340287,0.1770829,0.40323707,-1.0794157,1.7156713,0.26120093,1.0897454,file101_explicitDeadline.csv,101,explicitDeadline
0.31889224,0.1142341,0.45940107,-2.0513923,2.1134946,0.23569418,1.2765949,file148_explicitDeadline.csv,148,explicitDeadline
0.31980044,0.08672397,0.48273224,-4.277414,4.481595,0.8966164,1.7507154,file216_acc.csv,216,acc
0.2804551,0.10647423,0.525873,-3.7721539,3.4939535,0.68602145,1.0473619,file53_explicitDeadline.csv,53,explicitDeadline
0.3008926,0.06659087,0.45819598,-4.320655,4.8187633,0.6265914,1.5429527,file119_implicitDeadline.csv,119,implicitDeadline
0.2997,0.07203912,0.42483813,-2.6405149,3.3171844,0.60159415,1.1219059,file308_implicitDeadline.csv,308,implicitDeadline
0.3011551,0.112973645,0.36008534,-2.193285,3.1185067,0.49466348,1.026425,file143_explicitDeadline.csv,143,explicitDeadline
0.33652148,0.10446297,0.5576524,-3.0568478,2.5470922,0.31978473,1.5846401,file241_explicitDeadline.csv,241,explicitDeadline
0.43522367,0.15818329,0.5301493,-3.5404887,4.531085,1.172261,1.3935173,file239_acc.csv,239,acc
0.26054445,0.18305567,0.54371476,-1.8398079,1.2335839,0.32999697,1.0927867,file90_explicitDeadline.csv,90,explicitDeadline
0.35681328,0.15618463,0.5937439,-3.1708522,2.524158,0.9539278,1.3873934,file207_implicitDeadline.csv,207,implicitDeadline
0.32549474,0.09454057,0.5345455,-2.724459,2.532318,0.3913667,1.4614028,file138_implicitDeadline.csv,138,implicitDeadline
0.35144123,0.12113048,0.43606007,-3.6504743,3.8864686,1.1394175,1.5498035,file276_acc.csv,276,acc
0.18660696,0.16757111,0.4698106,-2.3084538,2.112504,0.8720178,1.0156641,file73_explicitDeadline.csv,73,explicitDeadline
0.3189595,0.1293024,0.39808294,-2.2632031,2.6982787,0.29073983,1.2255962,file60_explicitDeadline.csv,60,explicitDeadline
0.23783864,0.09481194,0.39744005,-2.7998087,3.320739,0.8001112,1.0854242,file68_implicitDeadline.csv,68,implicitDeadline
0.264423,0.13670771,0.3815721,-1.150432,1.8262391,0.27788138,1.0985767,file23_explicitDeadline.csv,23,explicitDeadline
0.32904047,0.09750314,0.5036607,-4.141776,4.3278303,0.9714357,1.5122467,file161_acc.csv,161,acc
0.3569069,0.13759954,0.4900642,-1.1715592,1.0512772,1.444008,1.6885436,file302_acc.csv,302,acc
0.29636368,0.15447275,0.46838295,-1.0126079,1.8299916,0.28573993,1.5700176,file106_explicitDeadline.csv,106,explicitDeadline
0.31205657,0.053276088,0.45874995,-3.788057,4.0689826,0.72916496,1.7619157,file145_acc.csv,145,acc
0.26658136,0.14340976,0.5018924,-1.9303162,1.6225972,0.34263077,1.0702564,file105_explicitDeadline.csv,105,explicitDeadline
0.33923495,0.112474106,0.46398583,-2.6303127,2.8384585,0.3050628,1.2995011,file317_explicitDeadline.csv,317,explicitDeadline
0.2690727,0.18112552,0.412542,-1.3107432,1.9489857,0.59589714,1.0312198,file174_implicitDeadline.csv,174,implicitDeadline
0.3291906,0.16752182,0.5131402,-1.3854336,0.3985585,0.25213468,1.256014,file244_explicitDeadline.csv,244,explicitDeadline
0.29015273,0.119778305,0.4752351,-1.9125236,1.6150743,0.3732793,1.469083,file265_implicitDeadline.csv,265,implicitDeadline
0.26297587,0.10103678,0.43297437,-2.52552,2.8874679,0.4630989,1.222118,file311_implicitDeadline.csv,311,implicitDeadline
0.27883685,0.12375258,0.4765816,-1.9074322,1.8337666,0.41471308,1.2144545,file28_implicitDeadline.csv,28,implicitDeadline
0.28994763,0.07964285,0.45949674,-3.2146785,3.52644,0.6753186,1.2244085,file296_implicitDeadline.csv,296,implicitDeadline
0.3113187,0.09620925,0.44106153,-2.6133745,2.7488122,0.47177583,1.537046,file80_implicitDeadline.csv,80,implicitDeadline
0.30295917,0.09472614,0.2863342,-1.817235,3.045834,0.5092639,1.1234941,file29_acc.csv,29,acc
0.27766317,0.13705957,0.4888994,-2.2851093,2.2532172,0.6437697,1.0907414,file27_implicitDeadline.csv,27,implicitDeadline
0.37181053,0.10279135,0.53966314,-4.6128225,4.1119614,1.3654449,1.4431566,file88_acc.csv,88,acc
0.30297792,0.12421446,0.5094775,-2.033433,1.8252246,0.27459848,1.1522226,file258_explicitDeadline.csv,258,explicitDeadline
0.19370586,0.18328337,0.4828273,-0.6671814,0.66881543,0.43255943,1.0888634,file72_implicitDeadline.csv,72,implicitDeadline
0.29435608,0.08068716,0.549748,-3.7780004,3.406591,0.6830601,1.3475641,file247_implicitDeadline.csv,247,implicitDeadline
0.35225824,0.053005926,0.4980149,-3.5994296,3.9051964,1.0027224,1.9051517,file192_acc.csv,192,acc
0.28509092,0.08299746,0.44685695,-4.2095585,4.5863104,0.75919366,1.5476844,file54_implicitDeadline.csv,54,implicitDeadline
0.34056696,0.10215702,0.42446616,-4.0452557,4.0008965,0.43166983,1.1493828,file204_explicitDeadline.csv,204,explicitDeadline
0.2819911,0.14584596,0.49690834,-1.2448989,1.5747111,0.27778023,1.1080023,file259_explicitDeadline.csv,259,explicitDeadline
