t0,st0,zr,v0,v1,a,alpha,file,pp,condition
0.2657058,0.14898027,0.40136698,-3.8360224,4.5253363,1.1128799,1.0175705,file272_explicitDeadline.csv,272,explicitDeadline
0.29843467,0.17768696,0.43886188,-2.0302782,2.6006017,0.48995084,1.0394082,file195_explicitDeadline.csv,195,explicitDeadline
0.3208452,0.16385883,0.54467463,-3.9969466,3.6897714,0.84061486,0.04245366,file264_acc.csv,264,acc
0.4187063,0.16968243,0.4620669,-2.4672232,2.5957868,0.975144,0.08416405,file63_acc.csv,63,acc
0.3944225,0.16448733,0.46609718,-4.0163655,4.631218,0.91867566,0.0046152086,file221_acc.csv,221,acc
0.34342897,0.11951209,0.47378233,-4.2746053,5.3007298,0.4981482,0.52189136,file189_explicitDeadline.csv,189,explicitDeadline
0.29591888,0.14866121,0.522581,-3.6289957,3.5608044,0.83257186,0.57481337,file260_acc.csv,260,acc
0.32648164,0.08512818,0.46159697,-4.0342827,3.8782325,0.579446,0.0389688,file111_implicitDeadline.csv,111,implicitDeadline
0.2986479,0.11888208,0.520999,-3.9643452,3.6007173,0.73005986,0.58254504,file290_implicitDeadline.csv,290,implicitDeadline
0.30712703,0.06804019,0.53737617,-4.6740537,4.128272,1.1259768,-0.014435753,file160_acc.csv,160,acc
0.3057089,0.1370378,0.48961973,-4.014068,3.6302261,0.48019722,0.6812658,file249_explicitDeadline.csv,249,explicitDeadline
0.26655328,0.11796555,0.4134306,-4.2590585,4.493223,0.77889407,0.70114887,file66_explicitDeadline.csv,66,explicitDeadline
0.29470068,0.16584547,0.49432924,-4.0805364,4.6830473,0.7354886,0.9491874,file263_explicitDeadline.csv,263,explicitDeadline
0.29750958,0.19305196,0.4913063,-2.8433049,2.7193198,0.6681797,0.9141893,file202_implicitDeadline.csv,202,implicitDeadline
0.3863744,0.13105585,0.47883043,-3.3662484,3.9608738,0.8023477,0.0051113903,file129_acc.csv,129,acc
0.35889465,0.12884739,0.5262763,-4.7506475,4.3128905,1.0161355,-0.018219195,file185_acc.csv,185,acc
0.30022466,0.14405762,0.51707095,-3.1015642,2.9953406,0.5859256,0.23304634,file279_implicitDeadline.csv,279,implicitDeadline
0.308627,0.1703002,0.41812882,-1.9158916,2.488355,0.5730262,0.6566396,file93_implicitDeadline.csv,93,implicitDeadline
0.35076788,0.17195949,0.5239701,-2.5716515,2.9977126,0.876696,0.016086768,file139_acc.csv,139,acc
0.3027614,0.12439116,0.61786044,-4.6635327,3.3161602,0.56825453,0.52797836,file10_explicitDeadline.csv,10,explicitDeadline
0.38285136,0.15656562,0.40199336,-3.430986,4.3501644,0.705003,0.06718499,file36_implicitDeadline.csv,36,implicitDeadline
0.27129608,0.18924029,0.41283697,-1.9978256,2.4614365,0.6672983,0.75254333,file42_implicitDeadline.csv,42,implicitDeadline
0.36591485,0.15540037,0.48957154,-2.2673216,1.82805,1.4021139,-0.0048613097,file141_acc.csv,141,acc
0.2981942,0.13904406,0.38232964,-2.9403274,3.8897145,0.83962166,1.0190548,file155_explicitDeadline.csv,155,explicitDeadline
0.19460486,0.19777644,0.54683685,-2.0339193,1.215213,0.76837045,1.0327007,file9_explicitDeadline.csv,9,explicitDeadline
0.31207606,0.11828401,0.49498102,-3.474889,3.20107,0.5461751,0.25226933,file12_implicitDeadline.csv,12,implicitDeadline
0.29124364,0.14755267,0.5320448,-4.2907195,3.8704312,0.9540526,0.9978982,file281_implicitDeadline.csv,281,implicitDeadline
0.28849873,0.15328607,0.50306785,-2.9483638,2.5964177,0.63286936,0.83848494,file167_implicitDeadline.csv,167,implicitDeadline
0.3605503,0.12976909,0.5078854,-4.156158,3.875661,0.6403278,0.0055917767,file30_implicitDeadline.csv,30,implicitDeadline
0.31263632,0.12976833,0.48715147,-4.734291,4.972716,0.5595286,0.4355998,file182_explicitDeadline.csv,182,explicitDeadline
0.39928994,0.10417869,0.43384448,-3.1640365,3.8263278,0.8769589,0.011104508,file194_acc.csv,194,acc
0.31651232,0.1226403,0.5159034,-4.7834334,3.6905177,0.6911334,-0.00062653853,file162_acc.csv,162,acc
0.2247543,0.16530558,0.4403876,-2.081863,2.2966325,0.5792286,1.0514233,file45_explicitDeadline.csv,45,explicitDeadline
0.45761424,0.10032027,0.5037182,-4.688778,3.9870017,0.850254,-0.0002427921,file271_acc.csv,271,acc
0.30171725,0.14367692,0.363992,-2.404685,3.6009848,0.5952879,0.27282634,file156_implicitDeadline.csv,156,implicitDeadline
0.2929448,0.10792607,0.425333,-4.029232,3.4510643,0.6730716,0.20965715,file74_implicitDeadline.csv,74,implicitDeadline
0.29213443,0.1547346,0.42795083,-2.8940089,3.551859,0.51572883,0.7848769,file43_explicitDeadline.csv,43,explicitDeadline
0.34885016,0.10379611,0.5357261,-4.578846,4.9195566,0.6767415,0.17402345,file121_acc.csv,121,acc
0.33877447,0.12243803,0.47241142,-2.5833416,3.196882,0.6075171,0.03407021,file136_implicitDeadline.csv,136,implicitDeadline
0.33942023,0.09610409,0.42693242,-3.3935328,3.902931,0.58163697,0.042555083,file107_implicitDeadline.csv,107,implicitDeadline
0.35503778,0.17042309,0.49041066,-2.8505833,2.68993,0.954936,0.021507826,file157_acc.csv,157,acc
0.26624474,0.17350617,0.5205965,-3.1187,1.6838554,0.51186883,0.382023,file314_explicitDeadline.csv,314,explicitDeadline
0.31047752,0.10869935,0.5833428,-4.5571356,3.2908683,0.49333453,0.22305351,file234_explicitDeadline.csv,234,explicitDeadline
0.2940854,0.18530005,0.4104309,-3.4166055,4.541823,0.87008065,1.0282838,file230_explicitDeadline.csv,230,explicitDeadline
0.40546465,0.1466646,0.507677,-4.048114,4.355029,0.93332666,0.017851936,file104_acc.csv,104,acc
0.30520976,0.13242665,0.51139593,-2.9511032,2.907611,0.71581835,0.45399496,file159_implicitDeadline.csv,159,implicitDeadline
0.335181,0.16352214,0.46955478,-2.1421022,2.4185648,1.2274743,0.027430002,file275_acc.csv,275,acc
0.33629707,0.16113871,0.5181415,-3.315021,2.9025748,0.6839696,0.8918794,file200_acc.csv,200,acc
0.34376335,0.15401165,0.4345519,-3.089667,3.7120333,1.0318322,0.16170958,file64_acc.csv,64,acc
0.388128,0.12971488,0.5395674,-2.4237542,2.5516865,1.1605494,0.012255726,file222_acc.csv,222,acc
0.31688976,0.14539313,0.4717959,-3.3432894,2.3883872,0.52835464,0.19531041,file118_implicitDeadline.csv,118,implicitDeadline
0.3068315,0.16444187,0.49400336,-3.3683536,2.593366,0.5104482,0.9348891,file165_explicitDeadline.csv,165,explicitDeadline
